stock,model,n,mse,mae,r2,qlike
SH600887,gru32_raw,417,0.11089784701880476,0.20519624597493816,0.2590401852582699,-7.349649422266788
SH600893,gru32_raw,406,0.14729949534670625,0.24759241921609318,0.5273617248440243,-7.12404010731236
SH600999,gru32_raw,411,0.13637098763587419,0.2536448768906422,0.3683731869447997,-7.0689692342336246
SH601006,gru32_raw,417,0.12484651993805215,0.228574974377425,0.04452966469886943,-8.654555795827182
SH601009,gru32_raw,417,0.1535301262959244,0.2653357241344892,0.25809115122967863,-7.806611157105678
SH601111,gru32_raw,416,0.16572145184324233,0.2732701575949096,0.08624583905639782,-7.128659585835734
SH601166,gru32_raw,417,0.1359025056300785,0.24839235099185628,0.15718915151398527,-7.951834808068203
SH601169,gru32_raw,417,0.1285811848502397,0.24550445773177354,0.21482406292455025,-8.664395794944541
SH601186,gru32_raw,417,0.14133145797545424,0.2522943818485985,0.3202404094899861,-7.624276782433472
SH601225,gru32_raw,417,0.14105627822907368,0.24956920801864801,0.171512665877393,-7.515587178621402
SH601288,gru32_raw,417,0.13438760573488256,0.253038057616439,0.09367937731743303,-9.007810336900594
SH601318,gru32_raw,417,0.11266237220562993,0.2143119404488809,0.3732538621102709,-7.922972904300706
SH601328,gru32_raw,417,0.15056889684769345,0.28203039461909635,0.2946506121591481,-8.914877454487588
SH601336,gru32_raw,417,0.1485276451515916,0.252999631488521,0.38506912294277806,-7.182318267978745
SH601377,gru32_raw,417,0.18423256847297745,0.28514087948774575,0.3641787366446263,-7.018233104959142
SH601398,gru32_raw,417,0.13341345045579445,0.25604161387127494,0.15485727882365252,-8.743328726101335
SH601555,gru32_raw,411,0.17621998899983723,0.2800053451152551,0.3975428168109355,-6.7691802232283695
SH601601,gru32_raw,417,0.13607422685476128,0.24170220016213118,0.11003604324286576,-7.309284017724793
SH601607,gru32_raw,417,0.1610269403565621,0.28497140047644404,0.3868888150654236,-7.325137102162576
SH601628,gru32_raw,417,0.1368908273904862,0.23207172365139242,0.3919854389623624,-6.998910961660633
SH601633,gru32_raw,416,0.16439344557651941,0.2863418768695959,0.3974461122353251,-6.465184273047805
SH601668,gru32_raw,417,0.1348699167055626,0.24036861100092186,0.11478647645452267,-7.917692354993169
SH601669,gru32_raw,417,0.16899857066141225,0.26885558919122915,0.3020673447623978,-7.6335702375965795
SH601688,gru32_raw,417,0.16005901738126607,0.26017714984097734,0.2945696881328632,-7.174390270761737
SH601766,gru32_raw,417,0.12813533397132826,0.23969026679596497,0.33020865609726113,-8.179781863988387
SH601800,gru32_raw,417,0.1841787609027077,0.2892709957848178,0.25524206078916944,-7.458693389072693
SH601818,gru32_raw,417,0.14424483250713546,0.2521645249760582,0.27598535529933377,-7.866821015025056
SH601857,gru32_raw,417,0.13746982405772967,0.2536698606758327,0.07761257355009099,-8.838590614895248
SH601888,gru32_raw,417,0.12485890325729683,0.2240608877312279,0.5261142533576717,-6.760101647152715
SH601899,gru32_raw,413,0.1736449276422651,0.26774263077564975,0.2934172168736795,-7.022099321509423
SH601901,gru32_raw,415,0.20504281428210128,0.2891996985319133,0.2836650684755312,-6.891927758499124
SH601933,gru32_raw,417,0.1638783516420222,0.25911330621877765,0.11945489407283683,-7.057381395559955
SH601939,gru32_raw,417,0.14118501599906755,0.24870192833179983,0.2508004499890444,-8.401935819430378
SH601988,gru32_raw,417,0.14581998922904293,0.2747493355092277,0.14552464579816882,-8.988127557784958
SH601998,gru32_raw,417,0.15257805714423198,0.2667126366564425,0.3311825156548247,-8.199519148594133
SH603993,gru32_raw,417,0.15785344380060357,0.2684018081510524,0.2796322906561213,-7.012465535339587
SZ000001,gru32_raw,417,0.06453989547011117,0.18856292474943856,0.1506059474813135,-7.246366300054882
SZ000069,gru32_raw,417,0.05791853475174021,0.19235431685611074,0.36201909746406624,-7.364756383724513
SZ000157,gru32_raw,417,0.05280312917312259,0.18017392765759557,0.31145201683381263,-7.194935147696781
SZ000166,gru32_raw,417,0.09733991650796361,0.24521915359633661,0.4816030138354813,-7.405938560313873
SZ000333,gru32_raw,406,0.055511704564454034,0.17964567987782099,0.24145882492692705,-7.354202526128571
SZ000338,gru32_raw,417,0.05797259290774277,0.1916933847972524,0.3272994953157383,-6.981097582334122
SZ000425,gru32_raw,417,0.07138202397595532,0.20927248997634265,0.3491596457915037,-7.028299194220534
SZ000568,gru32_raw,417,0.06275357793810506,0.20291311119103975,0.41181013452774395,-6.746235434941879
SZ000625,gru32_raw,417,0.07368124523547963,0.21185855233097023,-0.008120791180723064,-6.339929012839889
SZ000709,gru32_raw,417,0.09116404933696737,0.23928463462547672,0.3896282118418839,-8.069340682039986
SZ000725,gru32_raw,417,0.09242186865678648,0.2354202713527593,0.3047256065433184,-6.690004819179833
SZ000728,gru32_raw,417,0.10049277916358051,0.23962350626651208,0.5417356178526276,-6.95021996009721
SZ000768,gru32_raw,417,0.07259804880267509,0.20655141188308093,0.5565660240923328,-7.04175991833615
SZ000776,gru32_raw,417,0.08632298258689629,0.22850862010332723,0.4727731174022294,-7.3501933300650295
SZ000783,gru32_raw,417,0.09606016495770735,0.24311766739456833,0.5461573768051583,-7.013666218629205
SZ000858,gru32_raw,417,0.06739764431740998,0.20636459358122292,0.44000275285506385,-6.943060631436024
SZ000895,gru32_raw,402,0.07129051158488384,0.20990238098247757,0.37726663994147625,-6.723487085979729
SZ000963,gru32_raw,417,0.09417325590259601,0.24157126144504867,0.13804337067800354,-6.813574878572709
SZ002007,gru32_raw,417,0.07874291775061917,0.22153233025770253,0.39091364877983215,-6.44765850568933
SZ002008,gru32_raw,417,0.05578978272623501,0.19082896475704317,0.030067782814525823,-6.495484255732188
SZ002024,gru32_raw,417,0.09199420222255987,0.24102792874233034,0.5684343263997971,-7.628850980267917
SZ002142,gru32_raw,417,0.06211361953655497,0.18383281484323122,0.2621509131313421,-7.07110589794594
SZ002146,gru32_raw,417,0.059661040693349425,0.189966329247728,0.38074602492216447,-7.300065715149131
SZ002153,gru32_raw,417,0.06765134813650653,0.20368273693861172,0.1369510902576332,-6.409254729671938
SZ002202,gru32_raw,411,0.06255982822166331,0.20134975373063277,0.24910740170655488,-6.901089165934776
SZ002236,gru32_raw,415,0.06936196679667081,0.2133731733231623,0.1431441003281244,-6.592757071361232
SZ002241,gru32_raw,417,0.056739720582699785,0.19268748979336836,0.2821858745132457,-5.990929179206912
SZ002304,gru32_raw,417,0.07335418368933322,0.21367576979361516,0.3512757803057356,-7.007424842991994
SZ002415,gru32_raw,415,0.05422359840213052,0.18463615774700295,0.15442866069168337,-6.927593179300556
SZ002456,gru32_raw,414,0.16416304186427563,0.2389611780818647,0.08680918594137366,-6.068103123427127
SZ002475,gru32_raw,417,0.047306568381028626,0.17662871274709485,0.12436100815742879,-6.289376862159829
SZ002594,gru32_raw,417,0.07355176034010384,0.2161977943005629,0.5647813353186266,-6.87807943097356
SZ002673,gru32_raw,417,0.10759374633756948,0.254579716338911,0.5446782333490228,-7.034124410941148
SZ300124,gru32_raw,406,0.05045726734636723,0.17509004788217786,0.36958456123860595,-6.728410459564708
SH600000,lstm4_raw,417,0.1382721975571274,0.24151138614599016,0.18459592810120407,-8.11838570180923
SH600009,lstm4_raw,417,0.13280928207362458,0.24046295268672602,0.24343468628221643,-7.159626196370013
SH600010,lstm4_raw,417,0.16640362261321523,0.2753152844888571,0.18365649296703324,-7.349711635612623
SH600015,lstm4_raw,417,0.16160137689328602,0.2819851506803151,0.1806325181584172,-8.702488145047232
SH600016,lstm4_raw,417,0.15481852096931734,0.27316871609364624,0.11708736524305019,-8.79083607191978
SH600018,lstm4_raw,414,0.1519528634368704,0.27959483602020063,0.5048597088938493,-7.415661214786946
SH600028,lstm4_raw,417,0.14675375504837535,0.26040482186978414,0.14362971257451118,-8.720933590379037
