stock,n,HAR_mse,HAR_mae,HAR_r2,HAR_ql,LSTM-32_ens_mse,LSTM-32_ens_mae,LSTM-32_ens_r2,LSTM-32_ens_ql,GRU-32_ens_mse,GRU-32_ens_mae,GRU-32_ens_r2,GRU-32_ens_ql,LSTM-4_ens_mse,LSTM-4_ens_mae,LSTM-4_ens_r2,LSTM-4_ens_ql,LSTM-32_1_mse,LSTM-32_1_mae,LSTM-32_1_r2,LSTM-32_1_ql,GRU-32_1_mse,GRU-32_1_mae,GRU-32_1_r2,GRU-32_1_ql,LSTM-4_1_mse,LSTM-4_1_mae,LSTM-4_1_r2,LSTM-4_1_ql
SH601398,395,0.14327049015905285,0.26736111278310665,0.11467335526637701,-8.691900617376428,0.15809823017559627,0.28423741393673957,0.02304671740637254,-8.716181928285144,0.15013374026013265,0.27268120383494454,0.07226254074894833,-8.730941479568353,0.1641122301351218,0.2973357703237096,-0.014116234990062981,-8.72252692535214,0.15984607794486666,0.2863157116382203,0.012246054971593368,-8.711109268203709,0.14897263644517994,0.2689496834521094,0.0794374735877924,-8.728159508970586,0.16362521754606804,0.29523845756417955,-0.011106786073322938,-8.708696842233053
SH601555,389,0.1993126823001758,0.3113976367286016,0.3508382028968998,-6.559776096624256,0.201683182999962,0.311776981912759,0.3431174774691532,-6.692439422937139,0.2040009597251358,0.3115423685025114,0.3355684741301106,-6.69401248146379,0.2023560614208783,0.31334644603008177,0.34092591113271664,-6.686830740529782,0.20517719677640778,0.31506264465702005,0.33173746774752133,-6.682053995919584,0.20521161930542103,0.30998535398860283,0.3316253535030227,-6.699779439269534,0.21023504485500136,0.32380806468137474,0.3152640466371207,-6.664826031015254
SH601601,395,0.1425016084901573,0.24538185829880885,0.11247514235088352,-7.175215075626495,0.1488666084724087,0.24869350625720318,0.07283281295518063,-7.296093928508907,0.14818591465749478,0.25094293216007707,0.07707229268867322,-7.287396007008101,0.15075764493802163,0.25454997054866807,0.06105510821391569,-7.2882636302653445,0.1506933229867628,0.25138455544797556,0.06145571653854853,-7.289587391169224,0.14906166297488624,0.24945615346914465,0.07161797951309257,-7.290151108550264,0.15123555564586813,0.2545070845389631,0.05807859701909823,-7.289261106412554
SH601607,395,0.19490307677566243,0.309965969126583,0.29333305189640535,-6.9590952846767005,0.19584239124663314,0.31522759274721845,0.28992734634525874,-7.157453912417021,0.1911718689851146,0.31483067113816293,0.3068614233603495,-7.2089595785805844,0.1867331203450744,0.3096271328384369,0.3229551505951772,-7.232977288889079,0.20040262359140695,0.3208139090266555,0.27339315136467446,-7.119979266318222,0.1878691543400961,0.31144453742828676,0.3188361921390829,-7.24349706645173,0.18604785499571805,0.310109476940467,0.3254397413008857,-7.232119419913561
SH601628,395,0.15858127679091114,0.24478485588550963,0.32674564332318756,-6.679093837327836,0.15936721357454098,0.24294217801062326,0.32340896087013216,-6.951511240118052,0.15647072441948906,0.24057549619991908,0.33570596075667636,-6.952056413886477,0.15410274678315422,0.24144494415926193,0.3457591731688686,-6.9621877426407535,0.16079827356057735,0.24352151848927098,0.3173334178441092,-6.944614549846419,0.15668010940621147,0.24220487641292324,0.3348170200356386,-6.967993863743816,0.15831832355869294,0.24746597397183437,0.3278620072015449,-6.953747254577888
SH601633,394,0.18186337429384372,0.2985084509690726,0.3593407966694606,-6.310372374545187,0.1900652094719748,0.30426181334558916,0.3304477817263868,-6.3870256112457975,0.1889007602318892,0.3041200470117969,0.33454984529673903,-6.408301153752069,0.18884481981688328,0.3045459993220409,0.33474690939417384,-6.394975873014659,0.19187546631571392,0.30621657769621774,0.3240706994148066,-6.377593375145914,0.19009062388644735,0.30356816318593793,0.3303582530975888,-6.417860438937481,0.19750635040796224,0.31333097396369697,0.30423450243125305,-6.376356151557485
SH601668,395,0.1448230510684874,0.25666112557747106,0.09384491631762748,-7.8181989591206555,0.15803431536312434,0.2626684053815819,0.01118228620361783,-7.864336373764878,0.1506269997204642,0.25281763968963256,0.05752971968547593,-7.873888727438265,0.15376247615109012,0.2553760341701563,0.03791110312950852,-7.872081771874393,0.15926492894923108,0.2659939363315787,0.003482360336347967,-7.8548175018433,0.1526179375305662,0.25077961455035463,0.0450724595697074,-7.87541987334421,0.15786203637526508,0.2552797828253719,0.012260232563044537,-7.86338290501003
SH601669,395,0.1870655424202602,0.2942390681364069,0.26334806445740455,-7.510382901402782,0.20138877258101445,0.29355289269027673,0.2069441159555615,-7.528882937889208,0.1985858006215672,0.29170858609045125,0.21798203717014653,-7.532147994742207,0.19800877185165708,0.28926637520580006,0.2202543389244861,-7.546060148752702,0.2059837113948645,0.3014414452306269,0.18884954585393365,-7.510296637660183,0.19910376159492238,0.29019711291901673,0.21594234055568162,-7.536652966071982,0.20197453390098324,0.292103055968965,0.20463742598723167,-7.53550099872724
SH601688,395,0.17043542095806336,0.27934606487879327,0.28164787300846494,-7.072988614978576,0.18150124542098603,0.28344170960270576,0.23500757667117134,-7.149054651183074,0.18182419327502342,0.2820731260642264,0.23364641432269329,-7.137457930002015,0.18143434476680864,0.28073517079452415,0.2352895499074581,-7.144986737544021,0.18765066999899585,0.2900216176309571,0.20908894895543184,-7.131692623679273,0.1818822691575374,0.2814811232269413,0.23340163578137652,-7.146085121548413,0.1821749540157759,0.28288221175257217,0.23216802607001508,-7.141795771183868
SH601766,395,0.14135016567394712,0.2589021986273559,0.2735951067849338,-8.05771835477061,0.14911576605733734,0.26533357254841605,0.23368733525632113,-8.15271586985771,0.14308762047090223,0.2551981445241143,0.2646662480161407,-8.162150569083236,0.1401194403658331,0.24809262286796316,0.27991985979640077,-8.176924563798213,0.1510656060303119,0.26986040214063584,0.22366701946396317,-8.1437045178131,0.14432582648987627,0.2554063126614148,0.25830305129328845,-8.155879462018683,0.14221447580422958,0.25205916292618513,0.2691533779415396,-8.15388901428659
