stock,model,har_beta_0,har_beta_1,har_beta_2,har_beta_3,calib_a,calib_b,converged,persistence,median_sigma,error,har_pooled_beta_0,har_pooled_beta_1,har_pooled_beta_2,har_pooled_beta_3
SH600060,egarch,,,,,-0.20820229019189943,1.0375635062872675,True,0.9751442449692325,0.023738470185539595,,,,,
SH600066,naive,,,,,,,,,,,,,,
SH600066,har,0.053308117149675524,0.2395102690591803,0.5001122891871729,-0.8070264416419323,,,,,,,,,,
SH600066,har_x,,,,,,,,,,,,,,
SH600066,ewma,,,,,-1.4175851981042231,0.66252243933174,True,,,,,,,
SH600066,garch,,,,,-0.9114762950909424,0.8057493788180212,True,0.9921790555677831,0.022246368929494612,,,,,
SH600066,egarch,,,,,-0.8458583199608664,0.8247442783726721,True,0.9885773990143222,0.02237846140187251,,,,,
SH600068,naive,,,,,,,,,,,,,,
SH600068,har,0.1296644607068602,0.2778914394587352,0.4910570687843052,-0.40532180145853075,,,,,,,,,,
SH600068,har_x,,,,,,,,,,,,,,
SH600068,ewma,,,,,-0.7163372071374919,0.870239618969897,True,,,,,,,
SH600068,garch,,,,,0.09551412705186212,1.1054226948561023,True,0.9941498688434774,0.024479407523713543,,,,,
SH600068,egarch,,,,,0.2702243478776003,1.1551390309172687,True,0.9883432195634021,0.02513911294297188,,,,,
SH600085,naive,,,,,,,,,,,,,,
SH600085,har,0.1060960561613366,0.3826435996871594,0.3161604270495844,-0.7697918051419675,,,,,,,,,,
SH600085,har_x,,,,,,,,,,,,,,
SH600085,ewma,,,,,-1.2946334405142823,0.7054670053757341,True,,,,,,,
SH600085,garch,,,,,-0.9866388987381375,0.7978645605742147,True,0.9980837253535312,0.022583138745778025,,,,,
SH600085,egarch,,,,,-0.9241696926309038,0.8151095880728075,True,0.996002239056965,0.022760379870265718,,,,,
SH600089,naive,,,,,,,,,,,,,,
SH600089,har,0.07554638464669407,0.36229808852238654,0.3837908087985074,-0.7085076014491226,,,,,,,,,,
SH600089,har_x,,,,,,,,,,,,,,
SH600089,ewma,,,,,-0.9216550499166458,0.8166158356641067,True,,,,,,,
SH600089,garch,,,,,0.07213111087421685,1.0954668129212015,True,0.9848079684939149,0.02321528858024411,,,,,
SH600089,egarch,,,,,0.09763296847613732,1.1042614950693626,True,0.984384965293766,0.023144318289705257,,,,,
SH600100,naive,,,,,,,,,,,,,,
SH600100,har,0.12255775868004817,0.08733950222190545,0.6023060778013836,-0.7111944596821445,,,,,,,,,,
SH600100,har_x,,,,,,,,,,,,,,
SH600100,ewma,,,,,-1.1877258946330347,0.7320195182718707,True,,,,,,,
SH600100,garch,,,,,-0.755776702065904,0.8633303038801295,True,0.9925431662919199,0.027435954024513532,,,,,
SH600100,egarch,,,,,-0.7063551445561875,0.8787763469519555,True,0.9878157198638968,0.02777539361995014,,,,,
SH600104,naive,,,,,,,,,,,,,,
SH600104,har,0.0698354692708649,0.4050210208350215,0.3196993842093744,-0.8020507811037033,,,,,,,,,,
SH600104,har_x,,,,,,,,,,,,,,
SH600104,ewma,,,,,-1.3079377338602756,0.7029306406795496,True,,,,,,,
SH600104,garch,,,,,-0.7179278692567811,0.8712540484092922,True,0.9924879115408237,0.022987826222598026,,,,,
SH600104,egarch,,,,,-0.7479129874412387,0.8637735160421276,True,0.9931987928597245,0.023137417221356815,,,,,
SH600109,naive,,,,,,,,,,,,,,
SH600109,har,0.049659368651082635,0.33961776714955766,0.4106005983347399,-0.7383845025546736,,,,,,,,,,
SH600109,har_x,,,,,,,,,,,,,,
SH600109,ewma,,,,,-0.8433055418621347,0.8257159073060318,True,,,,,,,
SH600109,garch,,,,,0.1989843512682436,1.1426697458304518,True,0.982836741931212,0.030225390257334252,,,,,
SH600109,egarch,,,,,0.195629992179384,1.1444285383871262,True,0.9787701058954837,0.030521198268245474,,,,,
SH600111,naive,,,,,,,,,,,,,,
SH600111,har,0.10074641356816358,0.31031050384699965,0.42430723612993676,-0.6145055948572552,,,,,,,,,,
SH600111,har_x,,,,,,,,,,,,,,
SH600111,ewma,,,,,-0.720641611464907,0.8651384793556129,True,,,,,,,
SH600111,garch,,,,,0.11517072802613575,1.119887795949513,True,0.9848895256332026,0.030451003047536108,,,,,
SH600111,egarch,,,,,0.08483049423323727,1.112096369109297,True,0.9791440823161296,0.030864955199650955,,,,,
SH600115,naive,,,,,,,,,,,,,,
SH600115,har,0.04652853550291722,0.3128404881382608,0.5138348292002636,-0.49819268815376555,,,,,,,,,,
SH600115,har_x,,,,,,,,,,,,,,
SH600115,ewma,,,,,-1.0526711096657728,0.7809891505391146,True,,,,,,,
SH600115,garch,,,,,-0.572605235563602,0.9304624070540772,True,0.9951935557449368,0.022464002428764285,,,,,
SH600115,egarch,,,,,-0.508145692980917,0.9482763492455503,True,0.9886939220369793,0.022714274264961087,,,,,
SH600118,naive,,,,,,,,,,,,,,
SH600118,har,0.08756679176490494,0.25345553249057046,0.45860851720712803,-0.755605499620179,,,,,,,,,,
SH600118,har_x,,,,,,,,,,,,,,
SH600118,ewma,,,,,-1.0573556066662075,0.7689705512840499,True,,,,,,,
SH600118,garch,,,,,0.06743493181472837,1.1042291322313438,True,0.961195161847384,0.027711055704393143,,,,,
SH600118,egarch,,,,,0.22263463929081953,1.1508137291675602,True,0.9651309343005176,0.02835183777640323,,,,,
SH600150,naive,,,,,,,,,,,,,,
SH600150,har,0.12854952893964133,0.23151825032989526,0.3964712419314128,-0.9399713038337816,,,,,,,,,,
SH600150,har_x,,,,,,,,,,,,,,
SH600150,ewma,,,,,-1.3025566175475876,0.7135121028796382,True,,,,,,,
SH600150,garch,,,,,-0.42583959824601014,0.9698402576672925,True,0.9756788037584472,0.02664080705170542,,,,,
SH600150,egarch,,,,,-0.5003788417688988,0.9498130922506774,True,0.9790447946420328,0.026854393619159207,,,,,
SH600153,naive,,,,,,,,,,,,,,
SH600153,har,0.11105403305402578,0.28414051203858,0.4368235566133789,-0.6527041828629405,,,,,,,,,,
SH600153,har_x,,,,,,,,,,,,,,
SH600153,ewma,,,,,-0.8454053436003944,0.8231220886090039,True,,,,,,,
SH600153,garch,,,,,-0.13055007518836312,1.0330430705075622,True,0.9947469516369534,0.02383161307758424,,,,,
SH600153,egarch,,,,,-0.14603653842240144,1.0290191137036762,True,0.9940954261210202,0.024008415245284513,,,,,
SH600157,naive,,,,,,,,,,,,,,
SH600157,har,0.09621565167746345,0.04889170527152567,0.22873387777059973,-2.4081267331352385,,,,,,,,,,
SH600157,har_x,,,,,,,,,,,,,,
SH600157,ewma,,,,,-1.5647466089989979,0.6623955879583059,True,,,,,,,
